P_maculatus,Offspring,Parent,Sample_group,Parent_sample_date,Parent_sample_FL_mm,Juvenile_spawn_date
82,Plec42_D06,Plec23_A07,D,20/05/2012,434.1577,04/03/2012
83,Plec42_D07,Plec24_A08,D,25/05/2012,625.3623,03/12/2011
84,Plec42_F08,Plec03_G06,D,26/01/2008,417.0000,11/04/2012
85,Plec42_G01,Plec03_E07,D,29/11/2007,295.0000,12/01/2012
86,Plec42_G06,Plec04_G11,D,04/03/2009,481.9589,16/11/2011
87,Plec42_H02,Plec24_A04,D,25/05/2012,481.9589,24/03/2012
88,Plec43_A05,Plec04_F03,D,03/03/2009,386.3566,25/10/2011
89,Plec43_A06,Plec03_H03,D,25/01/2008,530.0000,24/10/2011
90,Plec43_B06,Plec05_C02,D,21/01/2008,367.0000,27/10/2011
91,Plec43_C03,Plec28_A07,D,19/05/2012,386.3566,01/02/2012
92,Plec43_C07,Plec21_D04,D,11/05/2012,434.1577,15/03/2012
93,Plec43_D02,Plec04_F11,D,04/03/2009,386.3566,28/01/2012
94,Plec43_F06,Plec28_A11,D,19/05/2012,415.0373,21/01/2012
95,Plec43_F12,Plec27_D11,D,10/05/2012,577.5612,03/03/2012
96,Plec44_H03,Plec04_G07,D,04/03/2009,338.5554,01/02/2012
97,Plec44_H09,Plec02_F07,D,24/11/2007,690.0000,11/02/2012
98,Plec45_A02,Plec24_E01,D,28/05/2012,529.7600,25/03/2012
99,Plec45_A03,Plec54_A02,D,05/08/2013,386.3566,16/03/2012
100,Plec45_A07,Plec02_A04,D,30/11/2007,640.0000,08/08/2011
101,Plec45_A12,Plec05_G07,D,22/11/2007,325.0000,22/09/2011
102,Plec45_B01,Plec24_E09,D,28/05/2012,386.3566,22/10/2011
103,Plec45_B08,Plec24_E07,D,28/05/2012,443.7180,14/10/2011
104,Plec45_C05,Plec31_A04,D,02/06/2012,552.0000,14/04/2012
105,Plec45_D07,Plec46_A05,D,28/05/2012,315.0000,29/10/2011
106,Plec45_D08,Plec23_G07,D,25/05/2012,529.7600,30/11/2011
107,Plec45_D09,Plec04_H07,D,04/03/2009,529.7600,08/01/2012
108,Plec45_E01,Plec31_E02,D,27/05/2012,615.0000,22/04/2012
109,Plec45_F06,Plec30_C08,D,03/06/2012,550.0000,12/02/2012
110,Plec45_G08,Plec23_A12,D,20/05/2012,529.7600,12/03/2012
111,Plec45_H01,Plec21_E04,D,13/05/2012,577.5612,12/11/2011
112,Plec45_H03,Plec21_B07,D,10/05/2012,481.9589,22/12/2011
113,Plec48_H03,Plec30_D09,D,03/06/2012,582.0000,04/11/2011
114,Plec48_H08,Plec02_E09,D,21/01/2008,656.0000,07/04/2012
115,Plec51_C06,Plec05_A04,D,02/02/2008,557.0000,15/02/2013
116,Plec51_C09,Plec04_A10,D,28/02/2009,338.5554,23/01/2013
117,Plec51_D02,Plec24_G05,D,02/06/2012,529.7600,02/01/2013
118,Plec51_E02,Plec23_D07,D,21/05/2012,481.9589,03/02/2013
119,Plec51_E05,Plec01_A05,D,25/01/2008,376.0000,23/02/2013
120,Plec51_E06,Plec01_A08,D,30/01/2008,415.0000,02/02/2013
121,Plec51_H02,Plec21_E04,D,13/05/2012,577.5612,20/04/2013
122,Plec51_H07,Plec04_B03,D,28/02/2009,386.3566,19/10/2012
123,Plec52_A03,Plec28_D06,D,21/05/2012,386.3566,29/12/2012
124,Plec52_A05,Plec24_F04,D,28/05/2012,443.7180,15/02/2013
125,Plec52_B06,Plec24_A10,D,25/05/2012,673.1635,11/04/2013
